COUNTRY,ADMIN1,ADMIN2,CITYID,YEAR,DEPOP,POP,GRDP,RTL_CMP,FDAC_CMP,EMP,HT_CMP,GRAD,ELMTRY,WLT_CMP,ENT_CMP,BED
한국,경기도,안산시,KR09009,2010,1,714891,18353691,4282,4282,225562,681,10733,55349,1504,498,6132
한국,경기도,고양시,KR09010,2010,0,950115,14341954,6140,6140,187421,821,13401,70053,2074,811,11530
한국,경기도,과천시,KR09011,2010,1,72279,5419280,658,658,22490,59,1633,5003,124,39,0
한국,경기도,구리시,KR09012,2010,0,196398,2512332,1710,1710,39581,163,3152,13959,400,172,2440
한국,경기도,남양주시,KR09013,2010,0,564141,5957799,2445,2445,78780,205,5144,41894,1015,259,8641
한국,경기도,오산시,KR09014,2010,0,182516,2829773,924,924,32972,89,1660,13874,368,150,2880
한국,경기도,시흥시,KR09015,2010,0,403797,10478736,3298,3298,129706,258,5031,33600,801,301,3042
한국,경기도,군포시,KR09016,2010,1,287833,4875568,1272,1272,74867,256,3710,19997,559,177,2174
한국,경기도,의왕시,KR09017,2010,0,147443,2426259,618,618,30060,72,1173,9436,248,78,895
한국,경기도,하남시,KR09018,2010,0,150479,2711348,2122,2122,41081,107,1606,8674,308,107,2182
한국,경기도,용인시,KR09019,2010,0,876550,25524626,3731,3731,199221,552,6893,71751,1593,553,21145
한국,경기도,파주시,KR09020,2010,0,355632,11856179,1654,1654,96646,212,2703,24759,669,201,3796
한국,경기도,이천시,KR09021,2010,0,202595,9067307,1153,1153,68377,177,2601,15492,360,132,2125
한국,경기도,안성시,KR09022,2010,0,177937,5629453,942,942,61256,113,1570,12198,407,154,3966
한국,경기도,김포시,KR09023,2010,0,238339,7667372,1577,1577,84744,187,2889,17528,404,188,3376
한국,경기도,화성시,KR09024,2010,0,505838,25404369,3417,3417,238891,455,2532,43018,992,353,4518
한국,경기도,광주시,KR09025,2010,0,249789,6112401,2105,2105,80167,181,1819,17213,447,168,2686
한국,경기도,양주시,KR09026,2010,0,196706,4315336,1122,1122,52123,76,1063,14513,435,146,12579
한국,경기도,포천시,KR09027,2010,1,158658,4384832,1166,1166,55685,107,1777,10650,288,115,1862
한국,경기도,여주시,KR09028,2010,0,109250,3132712,648,648,25051,87,1317,7074,218,72,1244
한국,경기도,연천군,KR09029,2010,1,45177,1057575,187,187,7251,22,473,2481,82,29,1361
한국,경기도,가평군,KR09030,2010,0,58890,1252055,266,266,11867,77,643,3331,120,120,521
한국,경기도,양평군,KR09031,2010,0,95833,1414996,445,445,14554,85,1144,4865,174,65,4252
한국,강원특별자치도,춘천시,KR10001,2010,0,269950,4990390,1662,1662,60359,295,3456,18649,541,259,3455
한국,강원특별자치도,원주시,KR10002,2010,0,314678,5665531,2292,2292,75500,295,4062,22980,709,231,3934
한국,강원특별자치도,강릉시,KR10003,2010,1,218503,3705959,1560,1560,48874,188,2967,14443,451,169,3059
한국,강원특별자치도,동해시,KR10004,2010,1,95236,2325739,646,646,20963,50,1124,6725,192,81,1379
한국,강원특별자치도,태백시,KR10005,2010,1,50864,769678,335,335,10907,19,543,3030,93,37,356
한국,강원특별자치도,속초시,KR10006,2010,1,84302,1230671,590,590,15901,69,1057,6175,183,52,431
한국,강원특별자치도,삼척시,KR10007,2010,1,72046,1555088,339,339,14390,38,701,4033,114,44,568
한국,강원특별자치도,홍천군,KR10008,2010,1,69893,1791845,352,352,13513,48,731,4138,129,28,763
한국,강원특별자치도,횡성군,KR10009,2010,0,44254,1104871,199,199,9313,30,570,2120,77,33,249
한국,강원특별자치도,영월군,KR10010,2010,1,40407,1007999,163,163,8333,39,437,1984,69,56,436
한국,강원특별자치도,평창군,KR10011,2010,1,43622,1125454,222,222,9535,42,343,2467,61,25,110
한국,강원특별자치도,정선군,KR10012,2010,1,41045,1202451,141,141,11396,17,336,2086,45,30,222
한국,강원특별자치도,철원군,KR10013,2010,1,48928,1211548,168,168,6536,20,545,3210,79,48,730
한국,강원특별자치도,화천군,KR10014,2010,0,24364,909707,68,68,2858,10,191,1452,44,12,36
한국,강원특별자치도,양구군,KR10015,2010,0,21843,623529,84,84,3445,7,204,1377,39,8,315
한국,강원특별자치도,인제군,KR10016,2010,1,31842,1052882,132,132,5204,26,285,2043,46,43,200
한국,강원특별자치도,고성군,KR10017,2010,1,30112,722612,125,125,5534,16,368,1460,45,20,0
한국,강원특별자치도,양양군,KR10018,2010,0,27929,732959,157,157,5810,14,234,1425,43,14,0
한국,충청북도,충주시,KR11001,2010,0,208481,4483785,1234,1234,45411,175,2722,13742,1857,682,8115
한국,충청북도,제천시,KR11002,2010,1,137264,2249580,1040,1040,30058,95,1727,8719,393,149,2177
한국,충청북도,통합청주시,KR11003,2010,0,808915,19945392,5159,5159,206708,737,11196,59834,266,108,1627
한국,충청북도,보은군,KR11004,2010,1,34956,766937,111,111,6205,16,384,1678,52,7,350
한국,충청북도,옥천군,KR11005,2010,1,54025,1097438,232,232,12628,32,459,2934,109,22,1171
한국,충청북도,영동군,KR11006,2010,1,50523,854191,164,164,8010,31,498,2540,79,6,411
한국,충청북도,진천군,KR11007,2010,0,62094,3963651,289,289,28604,39,523,4337,104,43,396
한국,충청북도,괴산군,KR11008,2010,0,36827,987528,119,119,6959,21,158,1519,60,18,708
한국,충청북도,음성군,KR11009,2010,0,91093,4170497,463,463,36750,61,632,5846,146,37,399
한국,충청북도,단양군,KR11010,2010,1,31817,896452,115,115,8088,14,219,1604,61,30,594
한국,충청북도,증평군,KR11011,2010,0,33533,908817,180,180,7392,15,610,2273,64,24,189
한국,충청남도,천안시,KR12001,2010,0,557673,19807914,3548,3548,179941,519,7744,43293,1168,432,8238
한국,충청남도,공주시,KR12002,2010,1,124930,2904316,638,638,25045,78,1863,7234,242,78,3068
한국,충청남도,보령시,KR12003,2010,1,107346,2993237,606,606,20422,53,1062,6501,193,55,688
한국,충청남도,아산시,KR12004,2010,0,265191,21743735,1073,1073,95946,127,1912,19601,559,124,1724
한국,충청남도,서산시,KR12005,2010,0,160468,12437052,870,870,37807,141,1714,12162,249,100,1369
한국,충청남도,논산시,KR12006,2010,1,127507,2838788,787,787,26238,65,1924,7655,297,63,1632
한국,충청남도,계룡시,KR12007,2010,1,43088,1006814,205,205,4591,9,483,4204,92,15,270
한국,충청남도,당진시,KR12008,2010,0,144903,6578996,714,714,36207,108,1330,8738,112,22,1715
한국,충청남도,금산군,KR12009,2010,1,56555,1954680,236,236,13786,31,454,2894,120,22,410
한국,충청남도,부여군,KR12010,2010,1,75029,1728949,297,297,11439,26,732,3854,129,17,999
한국,충청남도,서천군,KR12011,2010,1,60085,1581828,236,236,11876,24,624,2955,54,16,694
