CNTRY,admin1,admin2,CITYID,bed10,bed20,pop10,pop20,rate
대한민국,경북,예천군,KR15020,,667 ,55613 ,47049 ,-15.40%
대한민국,경북,봉화군,KR15021,,255 ,31494 ,34567 ,9.76%
대한민국,경북,울진군,KR15022,,305 ,48716 ,52430 ,7.62%
대한민국,경북,울릉군,KR15023,,42 ,9077 ,10701 ,17.89%
대한민국,경남,창원시,KR16001,,18481 ,1090181 ,1036738 ,-4.90%
대한민국,경남,진주시,KR16002,,5532 ,348096 ,335037 ,-3.75%
대한민국,경남,통영시,KR16003,,1810 ,128293 ,140297 ,9.36%
대한민국,경남,사천시,KR16004,,2170 ,111105 ,114148 ,2.74%
대한민국,경남,김해시,KR16005,,9354 ,542338 ,503348 ,-7.19%
대한민국,경남,밀양시,KR16006,,1737 ,104831 ,110479 ,5.39%
대한민국,경남,거제시,KR16007,,2106 ,245754 ,228355 ,-7.08%
대한민국,경남,양산시,KR16008,,5649 ,352229 ,260239 ,-26.12%
대한민국,경남,의령군,KR16009,,386 ,26800 ,30162 ,12.54%
대한민국,경남,함안군,KR16010,,1279 ,64182 ,67207 ,4.71%
대한민국,경남,창녕군,KR16011,,1776 ,61301 ,61714 ,0.67%
대한민국,경남,고성군,KR16012,,712 ,51361 ,57231 ,11.43%
대한민국,경남,남해군,KR16013,,290 ,42958 ,49328 ,14.83%
대한민국,경남,하동군,KR16014,,536 ,44785 ,51509 ,15.01%
대한민국,경남,산청군,KR16015,,148 ,34857 ,35591 ,2.11%
대한민국,경남,함양군,KR16016,,159 ,39080 ,41197 ,5.42%
대한민국,경남,거창군,KR16017,,830 ,61502 ,63421 ,3.12%
대한민국,경남,합천군,KR16018,,501 ,44006 ,51092 ,16.10%
대한민국,제주,제주시,KR17001,,3725 ,417539 ,492466 ,17.94%
대한민국,제주,서귀포시,KR17002,,511 ,153716 ,182169 ,18.51%
태국,Bangkok,Bangkok,TL01001,,30135 ,5673560 ,5588222 ,-1.50%
태국,Central Region,Samut Prakan,TL02001,,3573 ,1223302 ,1351479 ,10.48%
태국,Central Region,Nonthaburi,TL02002,,3850 ,1141673 ,1276745 ,11.83%
태국,Central Region,Pathum Thani,TL02003,,3041 ,1033837 ,1176412 ,13.79%
태국,Central Region,Phra Nakhon Si Ayutthaya,TL02004,,1728 ,793509 ,819088 ,3.22%
태국,Central Region,Ang Thong,TL02005,,716 ,283882 ,276584 ,-2.57%
태국,Central Region,Lop Buri,TL02006,,1926 ,758059 ,742928 ,-2.00%
태국,Central Region,Sing Buri,TL02007,,616 ,213216 ,205898 ,-3.43%
태국,Central Region,Chai Nat,TL02008,,597 ,333172 ,322477 ,-3.21%
태국,Central Region,Saraburi,TL02009,,1920 ,625689 ,643828 ,2.90%
태국,Central Region,Chon Buri,TL02010,,4656 ,1364002 ,1566885 ,14.87%
태국,Central Region,Rayong,TL02011,,1680 ,649275 ,741524 ,14.21%
태국,Central Region,Chanthaburi,TL02012,,1479 ,521812 ,535559 ,2.63%
태국,Central Region,Trat,TL02013,,635 ,222855 ,228536 ,2.55%
태국,Central Region,Chachoengsao,TL02014,,1570 ,685721 ,720718 ,5.10%
태국,Central Region,Prachin Buri,TL02015,,989 ,473770 ,493670 ,4.20%
태국,Central Region,Nakhon Nayok,TL02016,,898 ,255174 ,260081 ,1.92%
태국,Central Region,Sa Kaeo,TL02017,,1106 ,548342 ,560925 ,2.29%
태국,Central Region,Ratcha Buri,TL02018,,2544 ,846631 ,869313 ,2.68%
태국,Central Region,Kanchana Buri,TL02019,,1818 ,838269 ,891976 ,6.41%
태국,Central Region,Suphanburi,TL02020,,1974 ,847308 ,838628 ,-1.02%
태국,Central Region,Nakhon Pathom,TL02021,,2170 ,874616 ,920729 ,5.27%
태국,Central Region,Samut Sakhon,TL02022,,2243 ,508812 ,586199 ,15.21%
태국,Central Region,Samut Songkhram,TL02023,,421 ,194042 ,192052 ,-1.03%
태국,Central Region,Phetcha Buri,TL02024,,960 ,468874 ,482193 ,2.84%
태국,Central Region,Prachuap Khiri Khan,TL02025,,1142 ,517050 ,550678 ,6.50%
태국,Northern Region,Chiang Mai,TL03001,,6383 ,1655642 ,1784370 ,7.78%
태국,Northern Region,Lamphun,TL03002,,819 ,404673 ,402011 ,-0.66%
태국,Northern Region,Lampang,TL03003,,1552 ,756811 ,728964 ,-3.68%
태국,Northern Region,Uttaradit,TL03004,,976 ,461294 ,448745 ,-2.72%
태국,Northern Region,Phrae,TL03005,,904 ,457607 ,437350 ,-4.43%
태국,Northern Region,Nan,TL03006,,1094 ,477673 ,476727 ,-0.20%
태국,Northern Region,Phayao,TL03007,,978 ,488120 ,467356 ,-4.25%
태국,Northern Region,Chiang Rai,TL03008,,2741 ,1200423 ,1295026 ,7.88%
태국,Northern Region,Mae Hong Son,TL03009,,594 ,244356 ,284549 ,16.45%
태국,Northern Region,Nakhon Sawan,TL03010,,2083 ,1073347 ,1040308 ,-3.08%
태국,Northern Region,Uthai Thani,TL03011,,707 ,328950 ,325868 ,-0.94%
태국,Northern Region,Kamphaeng Phet,TL03012,,998 ,727555 ,714118 ,-1.85%
태국,Northern Region,Tak,TL03013,,1287 ,526045 ,670265 ,27.42%
태국,Northern Region,Sukhothai,TL03014,,1171 ,602601 ,587883 ,-2.44%
태국,Northern Region,Phitsanulok,TL03015,,2296 ,854372 ,849481 ,-0.57%
태국,Northern Region,Phichit,TL03016,,1041 ,549395 ,532310 ,-3.11%
태국,Northern Region,Phetchabun,TL03017,,1739 ,993702 ,981940 ,-1.18%
태국,Northeastern Region,Nakhon Ratchasima,TL04001,,5574 ,2601167 ,2633207 ,1.23%
태국,Northeastern Region,Buri Ram,TL04002,,2920 ,1566740 ,1581184 ,0.92%
태국,Northeastern Region,Surin,TL04003,,2794 ,1386277 ,1378221 ,-0.58%
태국,Northeastern Region,Si Sa Ket,TL04004,,2141 ,1458370 ,1458580 ,0.01%
태국,Northeastern Region,Ubon Ratchathani,TL04005,,4531 ,1826920 ,1866697 ,2.18%
태국,Northeastern Region,Yasothon,TL04006,,876 ,540267 ,534500 ,-1.07%
태국,Northeastern Region,Chaiyaphum,TL04007,,1861 ,1133034 ,1124924 ,-0.72%
태국,Northeastern Region,Amnat Charoen,TL04008,,663 ,373494 ,376195 ,0.72%
태국,Northeastern Region,Bueng Kan,TL04009,,681 ,412613 ,422042 ,2.29%
태국,Northeastern Region,Nong Bua Lam Phu,TL04010,,693 ,505071 ,509470 ,0.87%
태국,Northeastern Region,Khon Kaen,TL04011,,5132 ,1774816 ,1794531 ,1.11%
태국,Northeastern Region,Udon Thani,TL04012,,3217 ,1557298 ,1567983 ,0.69%
태국,Northeastern Region,Loei,TL04013,,1440 ,629787 ,638736 ,1.42%
태국,Northeastern Region,Nong Khai,TL04014,,1179 ,512439 ,517435 ,0.97%
태국,Northeastern Region,Maha Sarakham,TL04015,,1547 ,945149 ,953660 ,0.90%
태국,Northeastern Region,Roi Et,TL04016,,2201 ,1308570 ,1298640 ,-0.76%
태국,Northeastern Region,Kalasin,TL04017,,1704 ,985084 ,977175 ,-0.80%
태국,Northeastern Region,Sakon Nakhon,TL04018,,2312 ,1129174 ,1146936 ,1.57%
태국,Northeastern Region,Nakhon Phanom,TL04019,,1058 ,708350 ,717201 ,1.25%
태국,Northeastern Region,Mukdahan,TL04020,,699 ,342868 ,350911 ,2.35%
태국,Southern Region,Nakhon Si Thammarat,TL05001,,3313 ,1534887 ,1550721 ,1.03%
태국,Southern Region,Krabi,TL05002,,916 ,444967 ,477770 ,7.37%
태국,Southern Region,Phangnga,TL05003,,609 ,257493 ,268229 ,4.17%
태국,Southern Region,Phuket,TL05004,,1358 ,360905 ,414471 ,14.84%
태국,Southern Region,Surat Thani,TL05005,,3080 ,1023288 ,1067726 ,4.34%
태국,Southern Region,Ranong,TL05006,,425 ,182648 ,194372 ,6.42%
태국,Southern Region,Chumphon,TL05007,,1245 ,495310 ,509208 ,2.81%
태국,Southern Region,Songkhla,TL05008,,3782 ,1378574 ,1428609 ,3.63%
태국,Southern Region,Satun,TL05009,,494 ,305879 ,324098 ,5.96%
태국,Southern Region,Trang,TL05010,,1458 ,631920 ,640574 ,1.37%
태국,Southern Region,Phatthalung,TL05011,,887 ,514492 ,523077 ,1.67%
태국,Southern Region,Pattani,TL05012,,1273 ,671615 ,726015 ,8.10%
태국,Southern Region,Yala,TL05013,,1162 ,500814 ,538602 ,7.55%
태국,Southern Region,Narathiwat,TL05014,,1339 ,757397 ,804429 ,6.21%
홍콩,Hong Kong Island,,HK01000,7964 ,8518 ,1270876 ,1195529 ,-5.93%
홍콩,Kowloon,,HK02000,12048 ,11086 ,2108419 ,2232339 ,5.88%
홍콩,New Territories,,HK03000,16567 ,16522 ,3691093 ,3984077 ,7.94%
일본,Hokkaido,Sapporo-shi,JP01001,37500 ,36720 ,1913545 ,1973395 ,3.13%
,Hokkaido,Hakodate-shi,JP01002,6555 ,6139 ,279127 ,251084 ,-10.05%
,Hokkaido,Otaru-shi,JP01003,3127 ,2865 ,131928 ,111299 ,-15.64%
,Hokkaido,Asahikawa-shi,JP01004,7405 ,6935 ,347095 ,329306 ,-5.13%
,Hokkaido,Muroran-shi,JP01005,2218 ,2092 ,94535 ,82383 ,-12.85%
,Hokkaido,Kushiro-shi,JP01006,3597 ,3452 ,181169 ,165077 ,-8.88%
,Hokkaido,Obihiro-shi,JP01007,3353 ,3281 ,168057 ,166536 ,-0.91%
,Hokkaido,Kitami-shi,JP01008,2103 ,1713 ,125689 ,115480 ,-8.12%
,Hokkaido,Yubari-shi,JP01009,0 ,0 ,10922 ,7334 ,-32.85%
,Hokkaido,Iwamizawa-shi,JP01010,1755 ,1611 ,90145 ,79306 ,-12.02%
,Hokkaido,Abashiri-shi,JP01011,877 ,623 ,40998 ,35759 ,-12.78%
,Hokkaido,Rumoi-shi,JP01012,570 ,516 ,24457 ,20114 ,-17.76%
,Hokkaido,Tomakomai-shi,JP01013,2863 ,2488 ,173320 ,170113 ,-1.85%
,Hokkaido,Wakkanai-shi,JP01014,517 ,487 ,39595 ,33563 ,-15.23%
,Hokkaido,Bibai-shi,JP01015,668 ,371 ,26034 ,20413 ,-21.59%
,Hokkaido,Ashibetsu-shi,JP01016,481 ,391 ,16628 ,12555 ,-24.49%
,Hokkaido,Ebetsu-shi,JP01017,940 ,1173 ,123722 ,121056 ,-2.15%
,Hokkaido,Akabira-shi,JP01018,546 ,486 ,12637 ,9698 ,-23.26%
,Hokkaido,Mombetsu-shi,JP01019,499 ,408 ,24750 ,21215 ,-14.28%
,Hokkaido,Shibetsu-shi,JP01020,230 ,148 ,21787 ,17858 ,-18.03%
,Hokkaido,Nayoro-shi,JP01021,788 ,678 ,30591 ,27282 ,-10.82%
,Hokkaido,Mikasa-shi,JP01022,292 ,292 ,10221 ,8040 ,-21.34%
,Hokkaido,Nemuro-shi,JP01023,415 ,350 ,29201 ,24636 ,-15.63%
,Hokkaido,Chitose-shi,JP01024,973 ,1031 ,93604 ,97950 ,4.64%
,Hokkaido,Takikawa-shi,JP01025,1206 ,1127 ,43170 ,39490 ,-8.52%
,Hokkaido,Sunagawa-shi,JP01026,645 ,622 ,19056 ,16486 ,-13.49%
,Hokkaido,Utashinai-shi,JP01027,60 ,60 ,4387 ,2989 ,-31.87%
,Hokkaido,Fukagawa-shi,JP01028,1186 ,1039 ,23709 ,20039 ,-15.48%
,Hokkaido,Furano-shi,JP01029,567 ,524 ,24259 ,21131 ,-12.89%
,Hokkaido,Noboribetsu-shi,JP01030,1360 ,1228 ,51526 ,46391 ,-9.97%
,Hokkaido,Eniwa-shi,JP01031,1107 ,1098 ,69384 ,70331 ,1.36%
,Hokkaido,Date-shi,JP01032,808 ,842 ,36278 ,32826 ,-9.52%
,Hokkaido,Kitahiroshima-shi,JP01033,802 ,544 ,60353 ,58171 ,-3.62%
,Hokkaido,Ishikari-shi,JP01034,617 ,560 ,59449 ,56869 ,-4.34%
,Hokkaido,Hokuto-shi,JP01035,0 ,0 ,48032 ,44302 ,-7.77%
