CNTRY,admin1,admin2,stdnt10,stdnt20,pop10,pop20,rate
한국,경상북도,상주시,5301,3787,105607,97228,-7.93%
한국,경상북도,문경시,4059,2791,77391,71406,-7.73%
한국,경상북도,경산시,16048,13342,240708,263728,9.56%
한국,경상북도,군위군,712,494,24736,23256,-5.98%
한국,경상북도,의성군,1824,1092,58832,51724,-12.08%
한국,경상북도,청송군,1009,611,26715,25044,-6.25%
한국,경상북도,영양군,725,490,18451,16692,-9.53%
한국,경상북도,영덕군,1747,1062,41377,36313,-12.24%
한국,경상북도,청도군,1546,1048,44391,42263,-4.79%
한국,경상북도,고령군,1624,1055,34678,31361,-9.57%
한국,경상북도,성주군,1812,1157,45289,43414,-4.14%
한국,경상북도,칠곡군,8014,6824,119087,114758,-3.64%
한국,경상북도,예천군,1768,2088,47049,55613,18.20%
한국,경상북도,봉화군,1371,896,34567,31494,-8.89%
한국,경상북도,울진군,2932,1859,52430,48716,-7.08%
한국,경상북도,울릉군,389,281,10701,9077,-15.18%
한국,경상남도,통합창원시,75588,58402,1090181,1036738,-4.90%
한국,경상남도,진주시,23658,20126,335037,348096,3.90%
한국,경상남도,통영시,8905,8075,140297,128293,-8.56%
한국,경상남도,사천시,7252,6145,114148,111105,-2.67%
한국,경상남도,김해시,43595,35472,503348,542338,7.75%
한국,경상남도,밀양시,5806,4053,110479,104831,-5.11%
한국,경상남도,거제시,18915,18620,228355,245754,7.62%
한국,경상남도,양산시,19853,22174,260239,352229,35.35%
한국,경상남도,의령군,1149,723,30162,26800,-11.15%
한국,경상남도,함안군,3815,3486,67207,64182,-4.50%
한국,경상남도,창녕군,2830,2255,61714,61301,-0.67%
한국,경상남도,고성군,2627,2157,57231,51361,-10.26%
한국,경상남도,남해군,2104,1247,49328,42958,-12.91%
한국,경상남도,하동군,2405,1404,51509,44785,-13.05%
한국,경상남도,산청군,1405,972,35591,34857,-2.06%
한국,경상남도,함양군,2089,1426,41197,39080,-5.14%
한국,경상남도,거창군,3772,2941,63421,61502,-3.03%
한국,경상남도,합천군,2045,1171,51092,44006,-13.87%
한국,제주특별자치도,제주시,33881,31087,417539,492466,17.94%
한국,제주특별자치도,서귀포시,10154,9488,153716,182169,18.51%
일본,Hokkaido,Sapporo-shi,92128,90071,1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,12803,10263,279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,5574,4101,131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,17352,14817,347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,4514,3312,94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,9147,7095,181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,8897,7969,168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,6399,5212,125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,291,187,10922,7334,-32.85%
일본,Hokkaido,Iwamizawa-shi,4367,3483,90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,2112,1631,40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,1107,788,24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,9576,8889,173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,2007,1460,39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,1111,649,26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,642,368,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,6526,5751,123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,496,284,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,1179,821,24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,1083,704,21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,1535,1230,30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,316,260,10221,8040,-21.34%
일본,Hokkaido,Nemuro-shi,1498,926,29201,24636,-15.63%
일본,Hokkaido,Chitose-shi,5614,5403,93604,97950,4.64%
일본,Hokkaido,Takikawa-shi,2144,1716,43170,39490,-8.52%
일본,Hokkaido,Sunagawa-shi,957,605,19056,16486,-13.49%
일본,Hokkaido,Utashinai-shi,148,55,4387,2989,-31.87%
