CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Hokkaido,Wassamu-cho,JP01099,148,195,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,JP01100,145,173,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,JP01101,218,297,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,JP01102,337,386,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,JP01103,94,90,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,JP01104,152,160,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,JP01105,105,123,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,JP01106,269,238,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,JP01107,204,219,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,JP01108,158,196,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,JP01109,414,497,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,JP01110,69,69,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,JP01111,147,162,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,JP01112,269,266,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,JP01113,200,246,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,JP01114,261,297,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,JP01115,104,166,1974,1637,-17.07%
일본,Hokkaido,Esashi-cho,JP01116,478,486,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,JP01117,235,339,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,JP01118,146,188,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,JP01119,149,193,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,JP01120,139,152,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,JP01121,290,316,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,JP01122,"1,041","1,248",21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,JP01123,268,341,5646,4373,-22.55%
일본,Hokkaido,Shari-cho,JP01124,871,"1,016",13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,JP01125,268,336,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,JP01126,315,345,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,JP01127,313,365,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,JP01128,211,234,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,JP01129,340,349,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,JP01130,"1,340","1,606",22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,JP01131,510,615,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,JP01132,238,263,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,JP01133,285,305,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,JP01134,87,117,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,JP01135,264,313,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,JP01136,492,552,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,JP01137,289,321,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,JP01138,225,282,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,JP01139,"1,008","1,090",19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,JP01140,373,458,4890,4432,-9.37%
일본,Hokkaido,Toyako-cho,JP01141,615,658,10132,8442,-16.68%
일본,Hokkaido,Abira-cho,JP01142,584,709,8726,7340,-15.88%
