CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
한국,전라남도,목포시,49208,86495,245422,224044,-8.71%
한국,전라남도,여수시,71876,144928,293488,280242,-4.51%
한국,전라남도,순천시,56173,110062,272620,282189,3.51%
한국,전라남도,나주시,19165,62425,90118,115613,28.29%
한국,전라남도,광양시,51883,88059,145512,151769,4.30%
한국,전라남도,담양군,9885,22629,47808,46280,-3.20%
한국,전라남도,곡성군,6308,14507,31886,28039,-12.06%
한국,전라남도,구례군,3366,9725,27375,25719,-6.05%
한국,전라남도,고흥군,8867,23636,73924,63922,-13.53%
한국,전라남도,보성군,5804,15643,48792,40482,-17.03%
한국,전라남도,화순군,16256,28742,69368,62522,-9.87%
한국,전라남도,장흥군,5777,18077,42394,37800,-10.84%
한국,전라남도,강진군,5039,14680,41624,34597,-16.88%
한국,전라남도,해남군,11153,28835,79579,68806,-13.54%
한국,전라남도,영암군,23143,37808,60082,53699,-10.62%
한국,전라남도,무안군,10037,35720,74475,86132,15.65%
한국,전라남도,함평군,4669,13062,36702,32050,-12.68%
한국,전라남도,영광군,9958,23548,57362,53099,-7.43%
한국,전라남도,장성군,9387,24740,46514,44464,-4.41%
한국,전라남도,완도군,6726,18284,54269,49916,-8.02%
한국,전라남도,진도군,4155,11314,33743,31227,-7.46%
한국,전라남도,신안군,4243,14773,45428,38938,-14.29%
한국,경상북도,포항시,146718,219408,514755,502916,-2.30%
한국,경상북도,경주시,77866,131634,267098,253502,-5.09%
한국,경상북도,김천시,27669,62208,136136,140548,3.24%
한국,경상북도,안동시,33858,68952,167886,158907,-5.35%
한국,경상북도,구미시,155281,212082,404920,416328,2.82%
한국,경상북도,영주시,19811,41477,113926,103119,-9.49%
한국,경상북도,영천시,25348,53320,103190,102015,-1.14%
한국,경상북도,상주시,15320,37823,105607,97228,-7.93%
한국,경상북도,문경시,12192,27596,77391,71406,-7.73%
한국,경상북도,경산시,64305,119149,240708,263728,9.56%
한국,경상북도,군위군,3945,12468,24736,23256,-5.98%
한국,경상북도,의성군,7110,19301,58832,51724,-12.08%
한국,경상북도,청송군,3708,13457,26715,25044,-6.25%
한국,경상북도,영양군,2093,6356,18451,16692,-9.53%
한국,경상북도,영덕군,5688,14597,41377,36313,-12.24%
한국,경상북도,청도군,6319,18046,44391,42263,-4.79%
한국,경상북도,고령군,10499,21428,34678,31361,-9.57%
한국,경상북도,성주군,9773,25805,45289,43414,-4.14%
한국,경상북도,칠곡군,38440,67053,119087,114758,-3.64%
한국,경상북도,예천군,5545,16751,47049,55613,18.20%
한국,경상북도,봉화군,5255,11625,34567,31494,-8.89%
