CNTRY,admin1,admin2,fdac10,fdac20,pop10,pop20,rate
한국,전북특별자치도,전주시,4905,5303,641525,657432,2.48%
한국,전북특별자치도,군산시,1534,1835,272601,267859,-1.74%
한국,전북특별자치도,익산시,1869,2048,307289,282276,-8.14%
한국,전북특별자치도,정읍시,573,708,122000,108508,-11.06%
한국,전북특별자치도,남원시,486,551,87775,80662,-8.10%
한국,전북특별자치도,김제시,521,720,94346,82450,-12.61%
한국,전북특별자치도,완주군,291,612,85119,91609,7.62%
한국,전북특별자치도,진안군,74,128,27543,25394,-7.80%
한국,전북특별자치도,무주군,95,151,25578,24036,-6.03%
한국,전북특별자치도,장수군,71,102,23386,22085,-5.56%
한국,전북특별자치도,임실군,107,136,30593,27314,-10.72%
한국,전북특별자치도,순창군,101,129,30209,27810,-7.94%
한국,전북특별자치도,고창군,236,403,60861,54529,-10.40%
한국,전북특별자치도,부안군,266,345,60138,52140,-13.30%
한국,전라남도,목포시,1814,1685,245422,224044,-8.71%
한국,전라남도,여수시,1718,2052,293488,280242,-4.51%
한국,전라남도,순천시,2162,2147,272620,282189,3.51%
한국,전라남도,나주시,441,778,90118,115613,28.29%
한국,전라남도,광양시,924,1199,145512,151769,4.30%
한국,전라남도,담양군,171,317,47808,46280,-3.20%
한국,전라남도,곡성군,112,134,31886,28039,-12.06%
한국,전라남도,구례군,83,117,27375,25719,-6.05%
한국,전라남도,고흥군,277,356,73924,63922,-13.53%
한국,전라남도,보성군,212,256,48792,40482,-17.03%
한국,전라남도,화순군,304,403,69368,62522,-9.87%
한국,전라남도,장흥군,183,277,42394,37800,-10.84%
한국,전라남도,강진군,155,229,41624,34597,-16.88%
한국,전라남도,해남군,366,498,79579,68806,-13.54%
한국,전라남도,영암군,246,449,60082,53699,-10.62%
한국,전라남도,무안군,232,576,74475,86132,15.65%
한국,전라남도,함평군,125,208,36702,32050,-12.68%
한국,전라남도,영광군,229,338,57362,53099,-7.43%
한국,전라남도,장성군,169,293,46514,44464,-4.41%
한국,전라남도,완도군,213,423,54269,49916,-8.02%
한국,전라남도,진도군,136,284,33743,31227,-7.46%
한국,전라남도,신안군,110,151,45428,38938,-14.29%
한국,경상북도,포항시,3199,3217,514755,502916,-2.30%
한국,경상북도,경주시,1457,1642,267098,253502,-5.09%
한국,경상북도,김천시,565,757,136136,140548,3.24%
한국,경상북도,안동시,1159,1170,167886,158907,-5.35%
한국,경상북도,구미시,2221,2529,404920,416328,2.82%
한국,경상북도,영주시,695,743,113926,103119,-9.49%
한국,경상북도,영천시,540,665,103190,102015,-1.14%
한국,경상북도,상주시,454,540,105607,97228,-7.93%
한국,경상북도,문경시,313,400,77391,71406,-7.73%
한국,경상북도,경산시,1201,1691,240708,263728,9.56%
한국,경상북도,군위군,89,121,24736,23256,-5.98%
한국,경상북도,의성군,247,270,58832,51724,-12.08%
한국,경상북도,청송군,87,127,26715,25044,-6.25%
한국,경상북도,영양군,56,56,18451,16692,-9.53%
한국,경상북도,영덕군,169,203,41377,36313,-12.24%
한국,경상북도,청도군,145,273,44391,42263,-4.79%
한국,경상북도,고령군,135,285,34678,31361,-9.57%
한국,경상북도,성주군,160,264,45289,43414,-4.14%
한국,경상북도,칠곡군,686,1165,119087,114758,-3.64%
한국,경상북도,예천군,156,251,47049,55613,18.20%
한국,경상북도,봉화군,102,140,34567,31494,-8.89%
한국,경상북도,울진군,218,287,52430,48716,-7.08%
한국,경상북도,울릉군,41,52,10701,9077,-15.18%
한국,경상남도,통합창원시,6402,6937,1090181,1036738,-4.90%
한국,경상남도,진주시,2318,2597,335037,348096,3.90%
한국,경상남도,통영시,791,855,140297,128293,-8.56%
한국,경상남도,사천시,672,782,114148,111105,-2.67%
한국,경상남도,김해시,3166,4232,503348,542338,7.75%
한국,경상남도,밀양시,521,633,110479,104831,-5.11%
한국,경상남도,거제시,1111,1032,228355,245754,7.62%
한국,경상남도,양산시,1376,2149,260239,352229,35.35%
한국,경상남도,의령군,83,95,30162,26800,-11.15%
한국,경상남도,함안군,301,510,67207,64182,-4.50%
한국,경상남도,창녕군,253,362,61714,61301,-0.67%
한국,경상남도,고성군,215,280,57231,51361,-10.26%
한국,경상남도,남해군,189,249,49328,42958,-12.91%
한국,경상남도,하동군,163,221,51509,44785,-13.05%
한국,경상남도,산청군,115,198,35591,34857,-2.06%
한국,경상남도,함양군,189,209,41197,39080,-5.14%
한국,경상남도,거창군,340,354,63421,61502,-3.03%
한국,경상남도,합천군,166,199,51092,44006,-13.87%
한국,제주특별자치도,제주시,3478,4443,417539,492466,17.94%
한국,제주특별자치도,서귀포시,989,1324,153716,182169,18.51%
대만,Northern region,NewTaipei City,11 433,19 636,4054467,4365947,7.68%
대만,Northern region,Taipei City,15 931,21 093,2655515,2594581,-2.29%
대만,Northern region,Keelung City,1 990,2 594,381809,367264,-3.81%
대만,Northern region,Hsinchu City,2 674,4 001,476273,499468,4.87%
대만,Northern region,Yilan County,2 993,5 098,426975,433319,1.49%
대만,Northern region,Taoyuan County,8 292,14 181,2190342,2441064,11.45%
대만,Northern region,Hsinchu County,2 543,4 177,522163,633163,21.26%
대만,Central region,Taichung City,13 723,21 202,2731056,3033840,11.09%
대만,Central region,Miaoli County,2 429,3 603,530339,521962,-1.58%
대만,Central region,Changhua County,4 178,6 153,1226420,1186795,-3.23%
대만,Central region,Nantou County,2 812,4 565,460869,430211,-6.65%
대만,Central region,Yunlin County,2 693,3 985,618581,591111,-4.44%
대만,Southern region,Tainan City,11 455,16 799,1840257,1875076,1.89%
대만,Southern region,Kaohsiung City,16 657,22 973,2777384,2734275,-1.55%
대만,Southern region,Chiayi City,2 562,3 628,267651,252028,-5.84%
대만,Southern region,Chiayi County,2 232,3 209,492981,464164,-5.85%
대만,Eastern region,Pingtung County,5 503,8 770,801012,755047,-5.74%
대만,Eastern region,Penghu County,744,1 695,86967,81738,-6.01%
대만,Eastern region,Taitung County,1 730,2 971,201039,189452,-5.76%
대만,Eastern region,Hualien County,2 738,4 491,309941,300406,-3.08%
대만,Kinma Region,Kinmen County,407,853,57221,67173,17.39%
대만,Kinma Region,Lienchiang County,159,321,14604,11813,-19.11%
홍콩,Hong Kong Island,Central and Western,1 415,1 879,251519,235953,-6.19%
홍콩,Hong Kong Island,Wan Chai,1 466,1 681,152608,166695,9.23%
홍콩,Hong Kong Island,Eastern,1 332,1 017,588094,529603,-9.95%
홍콩,Hong Kong Island,Southern,356,384,278655,263278,-5.52%
홍콩,Kowloon,Yau Tsim Mong,2 922,3 415,307878,310647,0.90%
홍콩,Kowloon,Sham Shui Po,922,1 091,380855,431090,13.19%
홍콩,Kowloon,Kowloon City,886,753,377351,410634,8.82%
홍콩,Kowloon,Wong Tai Sin,548,520,420183,406802,-3.18%
홍콩,Kowloon,Kwun Tong,867,1 220,622152,673166,8.20%
홍콩,New Territories,Kwai Tsing,695,565,511167,495798,-3.01%
홍콩,New Territories,Tsuen Wan,708,823,304637,320094,5.07%
홍콩,New Territories,Tuen Mun,628,538,487546,506879,3.97%
홍콩,New Territories,Yuen Long,847,1 060,578529,668080,15.48%
홍콩,New Territories,North,342,367,304134,309631,1.81%
홍콩,New Territories,Tai Po,281,410,296853,316470,6.61%
홍콩,New Territories,Sha Tin,786,963,630273,692806,9.92%
홍콩,New Territories,Sai Kung,530,574,436627,489037,12.00%
홍콩,New Territories,Islands,380,363,141327,185282,31.10%
일본,Hokkaido,Sapporo-shi,10333,8825,1913545,1973395,3.13%
일본,Hokkaido,Hakodate-shi,2243,1617,279127,251084,-10.05%
일본,Hokkaido,Otaru-shi,939,721,131928,111299,-15.64%
일본,Hokkaido,Asahikawa-shi,2211,1795,347095,329306,-5.13%
일본,Hokkaido,Muroran-shi,778,531,94535,82383,-12.85%
일본,Hokkaido,Kushiro-shi,1408,1223,181169,165077,-8.88%
일본,Hokkaido,Obihiro-shi,1444,1318,168057,166536,-0.91%
일본,Hokkaido,Kitami-shi,851,658,125689,115480,-8.12%
일본,Hokkaido,Yubari-shi,68,39,10922,7334,-32.85%
일본,Hokkaido,Iwamizawa-shi,453,353,90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,293,214,40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,228,138,24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,1114,881,173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,365,255,39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,154,98,26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,120,71,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,413,333,123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,65,43,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,207,196,24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,194,139,21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,224,195,30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,44,37,10221,8040,-21.34%
일본,Hokkaido,Nemuro-shi,291,200,29201,24636,-15.63%
일본,Hokkaido,Chitose-shi,619,540,93604,97950,4.64%
일본,Hokkaido,Takikawa-shi,337,249,43170,39490,-8.52%
일본,Hokkaido,Sunagawa-shi,138,115,19056,16486,-13.49%
일본,Hokkaido,Utashinai-shi,13,8,4387,2989,-31.87%
일본,Hokkaido,Fukagawa-shi,176,136,23709,20039,-15.48%
일본,Hokkaido,Furano-shi,217,216,24259,21131,-12.89%
일본,Hokkaido,Noboribetsu-shi,240,204,51526,46391,-9.97%
일본,Hokkaido,Eniwa-shi,290,208,69384,70331,1.36%
일본,Hokkaido,Date-shi,214,184,36278,32826,-9.52%
일본,Hokkaido,Kitahiroshima-shi,165,118,60353,58171,-3.62%
일본,Hokkaido,Ishikari-shi,215,168,59449,56869,-4.34%
일본,Hokkaido,Hokuto-shi,169,124,48032,44302,-7.77%
일본,Hokkaido,Tobetsu-cho,82,38,18766,15916,-15.19%
일본,Hokkaido,Shinshinotsu-mura,16,11,3515,3044,-13.40%
일본,Hokkaido,Matsumae-cho,41,14,8748,6260,-28.44%
일본,Hokkaido,Fukushima-cho,31,17,5114,3794,-25.81%
일본,Hokkaido,Shiriuchi-cho,30,24,5074,4167,-17.88%
일본,Hokkaido,Kikonai-cho,32,30,5341,3832,-28.25%
일본,Hokkaido,Nanae-cho,102,74,28463,27686,-2.73%
일본,Hokkaido,Shikabe-cho,17,18,4767,3760,-21.12%
일본,Hokkaido,Mori-machi,102,78,17859,14338,-19.72%
일본,Hokkaido,Yakumo-cho,135,117,18896,15826,-16.25%
일본,Hokkaido,Oshamambe-cho,54,45,6386,5109,-20.00%
일본,Hokkaido,Esashi-cho,69,64,9004,7428,-17.50%
일본,Hokkaido,Kaminokuni-cho,30,18,5428,4306,-20.67%
일본,Hokkaido,Assabu-cho,21,17,4409,3592,-18.53%
일본,Hokkaido,Otobe-cho,18,18,4408,3403,-22.80%
일본,Hokkaido,Okushiri-cho,58,49,3033,2410,-20.54%
일본,Hokkaido,Imakane-cho,30,34,6186,5072,-18.01%
일본,Hokkaido,Setana-cho,70,54,9590,7398,-22.86%
일본,Hokkaido,Shimamaki-mura,16,11,1781,1356,-23.86%
일본,Hokkaido,Suttsu-cho,19,21,3443,2838,-17.57%
일본,Hokkaido,Kuromatsunai-cho,19,17,3250,2791,-14.12%
일본,Hokkaido,Rankoshi-cho,38,30,5292,4568,-13.68%
일본,Hokkaido,Niseko-cho,86,92,4823,5074,5.20%
일본,Hokkaido,Makkari-mura,18,30,2189,2045,-6.58%
일본,Hokkaido,Rusutsu-mura,28,28,2034,1911,-6.05%
일본,Hokkaido,Kimobetsu-cho,25,20,2490,2156,-13.41%
일본,Hokkaido,Kyogoku-cho,31,23,3811,2941,-22.83%
일본,Hokkaido,Kutchan-cho,203,210,15568,15129,-2.82%
일본,Hokkaido,Kyowa-cho,33,28,6428,5772,-10.21%
일본,Hokkaido,Iwanai-cho,170,131,14451,11648,-19.40%
일본,Hokkaido,Tomari-mura,25,21,1883,1569,-16.68%
일본,Hokkaido,Kamoenai-mura,13,14,1122,870,-22.46%
일본,Hokkaido,Shakotan-cho,25,40,2516,1831,-27.23%
일본,Hokkaido,Furubira-cho,22,15,3611,2745,-23.98%
일본,Hokkaido,Niki-cho,12,17,3800,3180,-16.32%
일본,Hokkaido,Yoichi-cho,138,100,21258,18000,-15.33%
일본,Hokkaido,Akaigawa-mura,14,11,1262,1165,-7.69%
일본,Hokkaido,Nanporo-cho,34,35,8778,7319,-16.62%
일본,Hokkaido,Naie-cho,75,23,6194,5120,-17.34%
일본,Hokkaido,Kamisunagawa-cho,4,1,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,31,25,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,62,73,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,67,58,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,18,19,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,11,19,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,17,14,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,14,14,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,14,12,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,20,8,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,12,10,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,22,19,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,18,18,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,31,31,9292,10127,8.99%
일본,Hokkaido,Tohma-cho,29,28,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,15,11,4042,3520,-12.91%
일본,Hokkaido,Aibetsu-cho,13,11,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,52,39,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,46,37,7859,8314,5.79%
일본,Hokkaido,Biei-cho,99,101,10956,9668,-11.76%
