CNTRY,admin1,admin2,CITYID,ent10,ent20,pop10,pop20,rate
대한민국,경상남도,함양군,KR16016,15,24,41197,39080,-5.14%
대한민국,경상남도,거창군,KR16017,28,39,63421,61502,-3.03%
대한민국,경상남도,합천군,KR16018,13,30,51092,44006,-13.87%
대한민국,제주도,제주시,KR17001,424,514,417539,492466,17.94%
대한민국,제주도,서귀포시,KR17002,189,209,153716,182169,18.51%
홍콩,Hong Kong Island,Central and Western,HK01001,189,420,251519,235953,-6.19%
홍콩,Hong Kong Island,Wan Chai,HK01002,276,256,152608,166695,9.23%
홍콩,Hong Kong Island,Eastern,HK01003,196,262,588094,529603,-9.95%
홍콩,Hong Kong Island,Southern,HK01004,46,136,278655,263278,-5.52%
홍콩,Kowloon,Yau Tsim Mong,HK02001,312,385,307878,310647,0.90%
홍콩,Kowloon,Sham Shui Po,HK02002,96,214,380855,431090,13.19%
홍콩,Kowloon,Kowloon City,HK02003,116,203,377351,410634,8.82%
홍콩,Kowloon,Wong Tai Sin,HK02004,67,218,420183,406802,-3.18%
홍콩,Kowloon,Kwun Tong,HK02005,106,371,622152,673166,8.20%
홍콩,New Territories,Kwai Tsing,HK03001,116,179,511167,495798,-3.01%
홍콩,New Territories,Tsuen Wan,HK03002,72,127,304637,320094,5.07%
홍콩,New Territories,Tuen Mun,HK03003,71,90,487546,506879,3.97%
홍콩,New Territories,Yuen Long,HK03004,96,117,578529,668080,15.48%
홍콩,New Territories,North,HK03005,1,57,304134,309631,1.81%
홍콩,New Territories,Tai Po,HK03006,74,105,296853,316470,6.61%
홍콩,New Territories,Sha Tin,HK03007,137,130,630273,692806,9.92%
홍콩,New Territories,Sai Kung,HK03008,31,103,436627,489037,12.00%
홍콩,New Territories,Islands,HK03009,41,64,141327,185282,31.10%
대만,Northern Region,New Taipei City,TW04001,2180,4269,4054467,4365947,7.68%
대만,Northern Region,Taipei City,TW04002,2617,4194,2655515,2594581,-2.29%
대만,Northern Region,Keelung City,TW04003,461,2773,381809,367264,-3.81%
대만,Northern Region,Hsinchu City,TW04004,345,619,476273,499468,4.87%
대만,Northern Region,Yilan County,TW04005,399,535,426975,433319,1.49%
대만,Northern Region,Taoyuan City,TW04006,1376,576,2190342,2441064,11.45%
대만,Northern Region,Hsinchu County,TW04007,320,510,522163,633163,21.26%
대만,Central Region,Taichung City,TW05001,1761,2986,2731056,3033840,11.09%
대만,Central Region,Miaoli County,TW05002,441,580,530339,521962,-1.58%
대만,Central Region,Changhua County,TW05003,743,1005,1226420,1186795,-3.23%
대만,Central Region,Nantou County,TW05004,388,542,460869,430211,-6.65%
대만,Central Region,Yunlin County,TW05005,504,616,618581,591111,-4.44%
대만,Southern Region,Tainan City,TW06001,1448,2169,1840257,1875076,1.89%
대만,Southern Region,Kaohsiung City,TW06002,2088,3126,2777384,2734275,-1.55%
대만,Southern Region,Chiayi City,TW06003,348,459,267651,252028,-5.84%
대만,Southern Region,Chiayi County,TW06004,266,369,492981,464164,-5.85%
대만,Southern Region,Pingtung County,TW06005,899,1079,801012,755047,-5.74%
대만,Southern Region,Penghu County,TW06006,93,172,86967,81738,-6.01%
대만,Eastern Region,Taitung County,TW07001,288,414,201039,189452,-5.76%
대만,Eastern Region,Hualien County,TW07002,305,451,309941,300406,-3.08%
대만,Kinma Region,Kinmen County,TW08001,79,95,57221,67173,17.39%
대만,Kinma Region,Lienchiang County,TW08002,52,28,14604,11813,-19.11%
