CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
대한민국,강원도,강릉시,KR10003,451,620,218503,213321,-2.37%
대한민국,강원도,동해시,KR10004,192,239,95236,90593,-4.88%
대한민국,강원도,태백시,KR10005,93,129,50864,42719,-16.01%
대한민국,강원도,속초시,KR10006,183,265,84302,82665,-1.94%
대한민국,강원도,삼척시,KR10007,114,183,72046,65243,-9.44%
대한민국,강원도,홍천군,KR10008,129,173,69893,69242,-0.93%
대한민국,강원도,횡성군,KR10009,77,122,44254,46472,5.01%
대한민국,강원도,영월군,KR10010,69,106,40407,38662,-4.32%
대한민국,강원도,평창군,KR10011,61,90,43622,41681,-4.45%
대한민국,강원도,정선군,KR10012,45,67,41045,36870,-10.17%
대한민국,강원도,철원군,KR10013,79,105,48928,44699,-8.64%
대한민국,강원도,화천군,KR10014,44,71,24364,24857,2.02%
대한민국,강원도,양구군,KR10015,39,51,21843,22278,1.99%
대한민국,강원도,인제군,KR10016,46,64,31842,31694,-0.46%
대한민국,강원도,고성군,KR10017,45,55,30112,26757,-11.14%
대한민국,강원도,양양군,KR10018,43,67,27929,27946,0.06%
대한민국,충청북도,청주시,KR11001,1857,2310,208481,210186,0.82%
대한민국,충청북도,충주시,KR11002,393,563,137264,133018,-3.09%
대한민국,충청북도,제천시,KR11003,266,391,808915,844993,4.46%
대한민국,충청북도,보은군,KR11004,52,82,34956,32412,-7.28%
대한민국,충청북도,옥천군,KR11005,109,129,54025,50527,-6.47%
대한민국,충청북도,영동군,KR11006,79,144,50523,47475,-6.03%
대한민국,충청북도,진천군,KR11007,104,198,62094,83718,34.82%
대한민국,충청북도,괴산군,KR11008,60,84,36827,39393,6.97%
대한민국,충청북도,음성군,KR11009,146,256,91093,93153,2.26%
대한민국,충청북도,단양군,KR11010,61,71,31817,29155,-8.37%
대한민국,충청북도,증평군,KR11011,64,110,33533,36807,9.76%
대한민국,충청남도,천안시,KR12001,1168,1827,557673,658808,18.14%
대한민국,충청남도,공주시,KR12002,242,328,124930,104545,-16.32%
대한민국,충청남도,보령시,KR12003,193,265,107346,100229,-6.63%
대한민국,충청남도,아산시,KR12004,559,851,265191,316129,19.21%
대한민국,충청남도,서산시,KR12005,249,431,160468,175591,9.42%
대한민국,충청남도,논산시,KR12006,297,406,127507,116675,-8.50%
대한민국,충청남도,계룡시,KR12007,92,125,43088,42822,-0.62%
대한민국,충청남도,금산군,KR12008,112,181,144903,166249,14.73%
대한민국,충청남도,부여군,KR12009,120,157,56555,51413,-9.09%
대한민국,충청남도,서천군,KR12010,129,165,75029,65354,-12.90%
대한민국,충청남도,청양군,KR12011,54,78,60085,51866,-13.68%
대한민국,충청남도,홍성군,KR12012,151,286,32541,30948,-4.90%
대한민국,충청남도,예산군,KR12013,134,218,88078,100102,13.65%
대한민국,충청남도,태안군,KR12014,90,132,87002,78084,-10.25%
대한민국,충청남도,당진군,KR12015,233,417,63247,62214,-1.63%
대한민국,전라북도,전주시,KR13001,1587,2104,641525,657432,2.48%
대한민국,전라북도,군산시,KR13002,544,799,272601,267859,-1.74%
대한민국,전라북도,익산시,KR13003,723,865,307289,282276,-8.14%
대한민국,전라북도,정읍시,KR13004,277,382,122000,108508,-11.06%
대한민국,전라북도,남원시,KR13005,222,261,87775,80662,-8.10%
대한민국,전라북도,김제시,KR13006,192,260,94346,82450,-12.61%
대한민국,전라북도,완주군,KR13007,162,277,85119,91609,7.62%
대한민국,전라북도,진안군,KR13008,48,79,27543,25394,-7.80%
대한민국,전라북도,무주군,KR13009,51,78,25578,24036,-6.03%
대한민국,전라북도,장수군,KR13010,49,69,23386,22085,-5.56%
대한민국,전라북도,임실군,KR13011,61,88,30593,27314,-10.72%
대한민국,전라북도,순창군,KR13012,66,83,30209,27810,-7.94%
대한민국,전라북도,고창군,KR13013,117,160,60861,54529,-10.40%
대한민국,전라북도,부안군,KR13014,123,155,60138,52140,-13.30%
대한민국,전라남도,목포시,KR14001,555,713,245422,224044,-8.71%
대한민국,전라남도,여수시,KR14002,458,701,293488,280242,-4.51%
대한민국,전라남도,순천시,KR14003,561,749,272620,282189,3.51%
대한민국,전라남도,나주시,KR14004,202,340,90118,115613,28.29%
대한민국,전라남도,광양시,KR14005,257,365,145512,151769,4.30%
대한민국,전라남도,담양군,KR14006,89,139,47808,46280,-3.20%
대한민국,전라남도,곡성군,KR14007,56,91,31886,28039,-12.06%
