CNTRY,admin1,admin2,hitech10,hitech20,pop10,pop20,rate
일본,Iwate-ken,Morioka-shi,696,793,298348,289731,-2.89%
일본,Iwate-ken,Miyako-shi,64,70,59430,50369,-15.25%
일본,Iwate-ken,Ofunato-shi,93,144,40737,34728,-14.75%
일본,Iwate-ken,Hanamaki-shi,142,151,101438,93193,-8.13%
일본,Iwate-ken,Kitakami-shi,141,134,93138,93045,-0.10%
일본,Iwate-ken,Kuji-shi,64,71,36872,33043,-10.38%
일본,Iwate-ken,Tono-shi,30,32,29331,25366,-13.52%
일본,Iwate-ken,Ichinoseki-shi,168,148,127642,111932,-12.31%
일본,Iwate-ken,Rikuzentakata-shi,36,30,23300,18262,-21.62%
일본,Iwate-ken,Kamaishi-shi,50,67,39574,32078,-18.94%
일본,Iwate-ken,Ninohe-shi,50,50,29702,25513,-14.10%
일본,Iwate-ken,Hachimantai-shi,23,24,28680,24023,-16.24%
일본,Iwate-ken,Oshu-shi,258,217,124746,112937,-9.47%
일본,Iwate-ken,Takizawashi,59,80,53857,55579,3.20%
일본,Iwate-ken,Shizukuishi-cho,21,17,18033,15731,-12.77%
일본,Iwate-ken,Kuzumaki-machi,4,4,7304,5634,-22.86%
일본,Iwate-ken,Iwate-machi,11,12,14984,12285,-18.01%
일본,Iwate-ken,Shiwa-cho,25,27,33288,32147,-3.43%
일본,Iwate-ken,Yahaba-cho,48,58,27205,28056,3.13%
일본,Iwate-ken,Nishiwaga-machi,7,8,6602,5134,-22.24%
일본,Iwate-ken,Kanegasaki-cho,14,10,16325,15535,-4.84%
일본,Iwate-ken,Hiraizumi-cho,9,8,8345,7252,-13.10%
일본,Iwate-ken,Sumita-cho,2,0,6190,5045,-18.50%
일본,Iwate-ken,Otsuchi-cho,4,8,15276,11004,-27.97%
일본,Iwate-ken,Yamada-machi,10,16,18617,14320,-23.08%
일본,Iwate-ken,Iwaizumi-cho,26,27,10804,8726,-19.23%
일본,Iwate-ken,Tanohata-mura,2,4,3843,3059,-20.40%
일본,Iwate-ken,Fudai-mura,0,0,3088,2487,-19.46%
일본,Iwate-ken,Karumai-machi,7,5,10209,8421,-17.51%
일본,Iwate-ken,Noda-mura,15,20,4632,3936,-15.03%
일본,Iwate-ken,Kunohe-mura,3,0,6507,5378,-17.35%
일본,Iwate-ken,Hirono-cho,19,11,17913,15091,-15.75%
일본,Iwate-ken,Ichinohe-machi,5,6,14187,11494,-18.98%
일본,Miyagi-ken,Sendai-shi,2809,3307,1045986,1096704,4.85%
일본,Miyagi-ken,Ishinomaki-shi,136,187,160826,140151,-12.86%
일본,Miyagi-ken,Shiogama-shi,78,74,56490,52203,-7.59%
일본,Miyagi-ken,Kesennuma-shi,45,97,73489,61147,-16.79%
일본,Miyagi-ken,Shiroishi-shi,39,38,37422,32758,-12.46%
일본,Miyagi-ken,Natori-shi,79,94,73134,78718,7.64%
일본,Miyagi-ken,Kakuda-shi,32,27,31336,27976,-10.72%
일본,Miyagi-ken,Tagajo-shi,38,48,63060,62827,-0.37%
일본,Miyagi-ken,Iwanuma-shi,47,43,44187,44068,-0.27%
일본,Miyagi-ken,Tome-shi,105,146,83969,76037,-9.45%
일본,Miyagi-ken,Kurihara-shi,208,239,74932,64637,-13.74%
일본,Miyagi-ken,Higashimatsushima-shi,26,30,42903,39098,-8.87%
일본,Miyagi-ken,Osaki-shi,176,192,135147,127330,-5.78%
