CNTRY,admin1,admin2,GRDP10,GRDP20,pop10,pop20,rate
한국,전북특별자치도,순창군,558065,809283,30209,27810,-7.94%
한국,전북특별자치도,고창군,1151818,1583028,60861,54529,-10.40%
한국,전북특별자치도,부안군,1003256,1545178,60138,52140,-13.30%
한국,전라남도,목포시,3260328,4444220,245422,224044,-8.71%
한국,전라남도,여수시,23785139,25733671,293488,280242,-4.51%
한국,전라남도,순천시,4559784,6309237,272620,282189,3.51%
한국,전라남도,나주시,2366373,4976771,90118,115613,28.29%
한국,전라남도,광양시,9110251,9979935,145512,151769,4.30%
한국,전라남도,담양군,959493,1550518,47808,46280,-3.20%
한국,전라남도,곡성군,990810,1071222,31886,28039,-12.06%
한국,전라남도,구례군,384504,595953,27375,25719,-6.05%
한국,전라남도,고흥군,1006135,1604617,73924,63922,-13.53%
한국,전라남도,보성군,713796,1008572,48792,40482,-17.03%
한국,전라남도,화순군,1324373,1783722,69368,62522,-9.87%
한국,전라남도,장흥군,660401,1034038,42394,37800,-10.84%
한국,전라남도,강진군,606886,953921,41624,34597,-16.88%
한국,전라남도,해남군,1524751,2322251,79579,68806,-13.54%
한국,전라남도,영암군,3037644,3371718,60082,53699,-10.62%
한국,전라남도,무안군,1731461,3358212,74475,86132,15.65%
한국,전라남도,함평군,639326,1092857,36702,32050,-12.68%
한국,전라남도,영광군,1770418,2187878,57362,53099,-7.43%
한국,전라남도,장성군,1343812,1977055,46514,44464,-4.41%
한국,전라남도,완도군,776837,1262316,54269,49916,-8.02%
한국,전라남도,진도군,526640,882092,33743,31227,-7.46%
한국,전라남도,신안군,713778,1318376,45428,38938,-14.29%
한국,경상북도,포항시,,18620504,514755,502916,-2.30%
한국,경상북도,경주시,,9921536,267098,253502,-5.09%
한국,경상북도,김천시,,5654517,136136,140548,3.24%
한국,경상북도,안동시,,6018724,167886,158907,-5.35%
한국,경상북도,구미시,,27984001,404920,416328,2.82%
한국,경상북도,영주시,,3038326,113926,103119,-9.49%
한국,경상북도,영천시,,3824513,103190,102015,-1.14%
한국,경상북도,상주시,,2492442,105607,97228,-7.93%
한국,경상북도,문경시,,1794902,77391,71406,-7.73%
한국,경상북도,경산시,,7997516,240708,263728,9.56%
한국,경상북도,군위군,,846953,24736,23256,-5.98%
한국,경상북도,의성군,,1408077,58832,51724,-12.08%
한국,경상북도,청송군,,803523,26715,25044,-6.25%
한국,경상북도,영양군,,439126,18451,16692,-9.53%
한국,경상북도,영덕군,,928968,41377,36313,-12.24%
한국,경상북도,청도군,,1015755,44391,42263,-4.79%
한국,경상북도,고령군,,1265197,34678,31361,-9.57%
한국,경상북도,성주군,,2071278,45289,43414,-4.14%
한국,경상북도,칠곡군,,4584662,119087,114758,-3.64%
한국,경상북도,예천군,,1150431,47049,55613,18.20%
한국,경상북도,봉화군,,1163777,34567,31494,-8.89%
한국,경상북도,울진군,,2468740,52430,48716,-7.08%
한국,경상북도,울릉군,,278041,10701,9077,-15.18%
한국,경상남도,통합창원시,,38694382,1090181,1036738,-4.90%
한국,경상남도,진주시,,8495532,335037,348096,3.90%
한국,경상남도,통영시,,3153775,140297,128293,-8.56%
한국,경상남도,사천시,,4355391,114148,111105,-2.67%
한국,경상남도,김해시,,15604555,503348,542338,7.75%
한국,경상남도,밀양시,,3172719,110479,104831,-5.11%
한국,경상남도,거제시,,8584161,228355,245754,7.62%
한국,경상남도,양산시,,10795754,260239,352229,35.35%
한국,경상남도,의령군,,976088,30162,26800,-11.15%
한국,경상남도,함안군,,3999539,67207,64182,-4.50%
한국,경상남도,창녕군,,2474636,61714,61301,-0.67%
한국,경상남도,고성군,,2292902,57231,51361,-10.26%
한국,경상남도,남해군,,1134093,49328,42958,-12.91%
한국,경상남도,하동군,,2164021,51509,44785,-13.05%
한국,경상남도,산청군,,1096030,35591,34857,-2.06%
한국,경상남도,함양군,,1053148,41197,39080,-5.14%
한국,경상남도,거창군,,1648855,63421,61502,-3.03%
한국,경상남도,합천군,,1151431,51092,44006,-13.87%
한국,제주특별자치도,제주시,7908509,14316106,417539,492466,17.94%
한국,제주특별자치도,서귀포시,3250373,5299652,153716,182169,18.51%
태국,Bangkok,Bangkok,144147813,226629787,5673560,5588222,-1.50%
태국,Central Region,Samut Prakan Province,25894519,27590020,1223302,1351479,10.48%
태국,Central Region,Nonthaburi Province,7593447,14834211,1141673,1276745,11.83%
태국,Central Region,Pathum Thani Province,12965827,18415954,1033837,1176412,13.79%
태국,Central Region,Phra Nakhon Si Ayutthaya Province,13901007,17120917,793509,819088,3.22%
태국,Central Region,Ang Thong Province,887094,1361231,283882,276584,-2.57%
태국,Central Region,Lop Buri Province,3190208,4565353,758059,742928,-2.00%
태국,Central Region,Sing Buri Province,1082879,1134728,213216,205898,-3.43%
태국,Central Region,Chai Nat Province,1181362,1550096,333172,322477,-3.21%
태국,Central Region,Saraburi Province,8009960,10536791,625689,643828,2.90%
태국,Central Region,Chon Buri Province,27535110,38358656,1364002,1566885,14.87%
태국,Central Region,Rayong Province,32295529,36859204,649275,741524,14.21%
태국,Central Region,Chanthaburi Province,4513468,6135528,521812,535559,2.63%
태국,Central Region,Trat Province,1709890,1950001,222855,228536,2.55%
태국,Central Region,Chachoengsao Province,11082756,14882475,685721,720718,5.10%
태국,Central Region,Prachin Buri Province,7314828,14022850,473770,493670,4.20%
태국,Central Region,Nakhon Nayok Province,875653,1339808,255174,260081,1.92%
태국,Central Region,Sa Kaeo Province,1320606,2001974,548342,560925,2.29%
태국,Central Region,Ratchaburi Province,5986308,7761333,846631,869313,2.68%
태국,Central Region,Kanchanaburi Province,3339850,4422835,838269,891976,6.41%
태국,Central Region,Suphan Buri Province,3082888,3853998,847308,838628,-1.02%
태국,Central Region,Nakhon Pathom Province,8374110,15046800,874616,920729,5.27%
태국,Central Region,Samut Sakhon Province,13627895,17507178,508812,586199,15.21%
태국,Central Region,Samut Songkhram Province,735879,1157541,194042,192052,-1.03%
태국,Central Region,Phetchaburi Province,2255828,3093149,468874,482193,2.84%
태국,Central Region,Prachuap Khiri Khan Province,3021662,3936808,517050,550678,6.50%
태국,Northern Region,Chiang Mai Province,7006892,10221159,1655642,1784370,7.78%
태국,Northern Region,Lamphun Province,3131482,3551275,404673,402011,-0.66%
태국,Northern Region,Lampang Province,2578747,3044191,756811,728964,-3.68%
태국,Northern Region,Uttaradit Province,1272000,1743362,461294,448745,-2.72%
태국,Northern Region,Phrae Province,960442,1342373,457607,437350,-4.43%
태국,Northern Region,Nan Province,967474,1482395,477673,476727,-0.20%
태국,Northern Region,Phayao Province,1200006,1523896,488120,467356,-4.25%
